C {"C":1}
Initialization Complete
C {"A":1080, "C":609}
Received on C
C {"A":1080, "C":610}
Sending from C
C {"A":1080, "C":611}
Sending from C
C {"A":1080, "C":612}
Sending from C
C {"A":1085, "C":613}
Received on C
C {"A":1085, "C":614}
Sending from C
C {"A":1085, "C":615}
Sending from C
C {"A":1085, "C":616}
Sending from C
C {"A":1085, "C":617}
Sending from C
C {"A":1085, "C":618}
Sending from C
C {"A":1085, "C":619}
Sending from C
C {"A":1085, "C":620}
Sending from C
C {"A":1085, "C":621}
Sending from C
C {"A":1099, "C":622}
Received on C
C {"A":1099, "C":623}
Sending from C
C {"A":1099, "C":624}
Sending from C
C {"A":1099, "C":625}
Sending from C
C {"A":1099, "C":626}
Sending from C
C {"A":1107, "C":627}
Received on C
C {"A":1107, "C":628}
Sending from C
C {"A":1107, "C":629}
Sending from C
C {"A":1107, "C":630}
Sending from C
C {"A":1107, "C":631}
Sending from C
C {"A":1107, "C":632}
Sending from C
C {"A":1107, "C":633}
Sending from C
C {"A":1107, "C":634}
Sending from C
C {"A":1123, "C":635}
Received on C
C {"A":1123, "C":636}
Sending from C
C {"A":1123, "C":637}
Sending from C
C {"A":1123, "C":638}
Sending from C
C {"A":1123, "C":639}
Sending from C
C {"A":1130, "C":640}
Received on C
C {"A":1130, "C":641}
Sending from C
C {"A":1130, "C":642}
Sending from C
C {"A":1130, "C":643}
Sending from C
C {"A":1130, "C":644}
Sending from C
C {"A":1130, "C":645}
Sending from C
C {"A":1144, "C":646}
Received on C
C {"A":1144, "C":647}
Sending from C
C {"A":1144, "C":648}
Sending from C
C {"A":1144, "C":649}
Sending from C
C {"A":1144, "C":650}
Sending from C
C {"A":1144, "C":651}
Sending from C
C {"A":1144, "C":652}
Sending from C
C {"A":1158, "C":653}
Received on C
C {"A":1158, "C":654}
Sending from C
C {"A":1158, "C":655}
Sending from C
C {"A":1158, "C":656}
Sending from C
C {"A":1158, "C":657}
Sending from C
C {"A":1167, "C":658}
Received on C
C {"A":1167, "C":659}
Sending from C
C {"A":1167, "C":660}
Sending from C
C {"A":1167, "C":661}
Sending from C
C {"A":1167, "C":662}
Sending from C
C {"A":1176, "C":663}
Received on C
C {"A":1176, "C":664}
Sending from C
C {"A":1180, "C":665}
Received on C
C {"A":1180, "C":666}
Sending from C
C {"A":1180, "C":667}
Sending from C
C {"A":1180, "C":668}
Sending from C
C {"A":1187, "C":669}
Received on C
C {"A":1187, "C":670}
Sending from C
C {"A":1187, "C":671}
Sending from C
C {"A":1187, "C":672}
Sending from C
C {"A":1187, "C":673}
Sending from C
C {"A":1196, "C":674}
Received on C
C {"A":1196, "C":675}
Sending from C
C {"A":1196, "C":676}
Sending from C
C {"A":1196, "C":677}
Sending from C
C {"A":1196, "C":678}
Sending from C
C {"A":1196, "C":679}
Sending from C
C {"A":1196, "C":680}
Sending from C
C {"A":1196, "C":681}
Sending from C
C {"A":1196, "C":682}
Sending from C
C {"A":1210, "C":683}
Received on C
C {"A":1210, "C":684}
Sending from C
